idx,FLOPs,Energy (mJ),Latency (ms),input,weight,output,computation,DRAM,DRAM-GB,GB,NoC,RF
0,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
1,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
2,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
3,1704960.0,0.026621376,1.4400000000000001e-05,0.010690560000000002,0.007616256000000001,0.006609600000000001,0.00170496,0.009792,0.0,0.001001664,0.0038397120000000008,0.01028304
4,1704960.0,0.02659296,1.5360000000000002e-05,0.00703584,0.007616256000000001,0.010235904,0.00170496,0.009792,0.0,0.001001664,0.0037509120000000003,0.010343424
5,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
6,232783872.0,3.2419004416000003,0.0019660800000000003,0.6233456640000001,1.8010341376,0.5847367680000001,0.232783872,0.9003008,0.0,0.16367616000000001,0.5475270656000001,1.3976125440000002
7,232783872.0,3.2445085696000002,0.0019660800000000003,0.6602096640000001,1.8010341376,0.550480896,0.232783872,0.8941568,0.0,0.173223936,0.5475270656000001,1.3968168960000003
0,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
1,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
2,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
3,1704960.0,0.026621376,1.4400000000000001e-05,0.010690560000000002,0.007616256000000001,0.006609600000000001,0.00170496,0.009792,0.0,0.001001664,0.0038397120000000008,0.01028304
4,1704960.0,0.02659296,1.5360000000000002e-05,0.00703584,0.007616256000000001,0.010235904,0.00170496,0.009792,0.0,0.001001664,0.0037509120000000003,0.010343424
5,14548992.0,0.2079947776,0.00012288000000000002,0.04433510400000001,0.1125646336,0.036546048000000005,0.014548992,0.0616448,0.0,0.010229760000000001,0.034220441600000005,0.08735078400000001
6,7274496.0,0.03788272,3.0720000000000004e-05,0.0069273600000000005,0.017588224,0.006092640000000002,0.007274496,0.010112,0.0,0.00149184,0.005346944000000001,0.013657440000000003
7,909312.0,0.008638464000000002,6.144000000000001e-06,0.0018186240000000002,0.0036372480000000005,0.0022732800000000004,0.000909312,0,0,0,0.00045465600000000006,0.007274496000000001
8,7274496.0,0.03788272,3.0720000000000004e-05,0.0069273600000000005,0.017588224,0.006092640000000002,0.007274496,0.010112,0.0,0.00149184,0.005346944000000001,0.013657440000000003
9,232783872.0,3.2419004416000003,0.0019660800000000003,0.6233456640000001,1.8010341376,0.5847367680000001,0.232783872,0.9003008,0.0,0.16367616000000001,0.5475270656000001,1.3976125440000002
10,232783872.0,3.2445085696000002,0.0019660800000000003,0.6602096640000001,1.8010341376,0.550480896,0.232783872,0.8941568,0.0,0.173223936,0.5475270656000001,1.3968168960000003
0,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
1,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
2,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
3,1704960.0,0.025951152,1.4400000000000001e-05,0.010690560000000002,0.008412672000000001,0.00514296,0.00170496,0.00912,0.0,0.001001664,0.0038681280000000006,0.0102564
4,1704960.0,0.025949376,1.5360000000000002e-05,0.00559584,0.008412672000000001,0.010235904,0.00170496,0.00912,0.0,0.001001664,0.0037793280000000006,0.010343424
5,14548992.0,0.2079947776,0.00012288000000000002,0.04433510400000001,0.1125646336,0.036546048000000005,0.014548992,0.0616448,0.0,0.010229760000000001,0.034220441600000005,0.08735078400000001
6,255590.40000000002,0.0308638144,3.0720000000000004e-05,0.0069273600000000005,0.017588224,0.006092640000000002,0.0002555904,0.010112,0.0,0.00149184,0.005346944000000001,0.013657440000000003
7,248832.0,0.009569280000000001,9.216000000000001e-06,0.002045952,0.004091904,0.003182592,0.000248832,0,0,0,0.00045465600000000006,0.008865792
8,255590.40000000002,0.0308638144,3.0720000000000004e-05,0.0069273600000000005,0.017588224,0.006092640000000002,0.0002555904,0.010112,0.0,0.00149184,0.005346944000000001,0.013657440000000003
9,232783872.0,3.2419004416000003,0.0019660800000000003,0.6233456640000001,1.8010341376,0.5847367680000001,0.232783872,0.9003008,0.0,0.16367616000000001,0.5475270656000001,1.3976125440000002
10,232783872.0,3.2445085696000002,0.0019660800000000003,0.6602096640000001,1.8010341376,0.550480896,0.232783872,0.8941568,0.0,0.173223936,0.5475270656000001,1.3968168960000003
0,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
1,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
2,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
3,1704960.0,0.025951152,1.4400000000000001e-05,0.010690560000000002,0.008412672000000001,0.00514296,0.00170496,0.00912,0.0,0.001001664,0.0038681280000000006,0.0102564
4,1704960.0,0.025949376,1.5360000000000002e-05,0.00559584,0.008412672000000001,0.010235904,0.00170496,0.00912,0.0,0.001001664,0.0037793280000000006,0.010343424
5,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
6,116391936.0,1.6209502208000002,0.0009830400000000001,0.31167283200000007,0.9005170688,0.29236838400000004,0.116391936,0.4501504,0.0,0.08183808000000001,0.27376353280000004,0.6988062720000001
7,116391936.0,1.6247011328000003,0.0009830400000000001,0.33010483200000007,0.9005170688,0.27768729600000003,0.116391936,0.4501504,0.0,0.085929984,0.27376353280000004,0.6984652800000001
0,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
1,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
2,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
3,1704960.0,0.026621376,1.4400000000000001e-05,0.010690560000000002,0.007616256000000001,0.006609600000000001,0.00170496,0.009792,0.0,0.001001664,0.0038397120000000008,0.01028304
4,1704960.0,0.02659296,1.5360000000000002e-05,0.00703584,0.007616256000000001,0.010235904,0.00170496,0.009792,0.0,0.001001664,0.0037509120000000003,0.010343424
5,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
6,58195968.0,0.8135471104,0.0004915200000000001,0.15890841600000002,0.4502585344,0.14618419200000002,0.058195968,0.2281472,0.0,0.040919040000000004,0.13688176640000002,0.34940313600000006
7,58195968.0,0.8147974144000001,0.0004915200000000001,0.16505241600000004,0.4502585344,0.14129049600000002,0.058195968,0.2281472,0.0,0.042283008000000004,0.13688176640000002,0.34928947200000005
0,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
1,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
2,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
3,1704960.0,0.026621376,1.4400000000000001e-05,0.010690560000000002,0.007616256000000001,0.006609600000000001,0.00170496,0.009792,0.0,0.001001664,0.0038397120000000008,0.01028304
4,1704960.0,0.02659296,1.5360000000000002e-05,0.00703584,0.007616256000000001,0.010235904,0.00170496,0.009792,0.0,0.001001664,0.0037509120000000003,0.010343424
5,29097984.0,0.40984555520000004,0.00024576000000000003,0.08252620800000002,0.2251292672,0.07309209600000001,0.029097984,0.11714559999999999,0.0,0.020459520000000002,0.06844088320000001,0.17470156800000003
6,58195968.0,0.8135471104,0.0004915200000000001,0.15890841600000002,0.4502585344,0.14618419200000002,0.058195968,0.2281472,0.0,0.040919040000000004,0.13688176640000002,0.34940313600000006
7,58195968.0,0.8147974144000001,0.0004915200000000001,0.16505241600000004,0.4502585344,0.14129049600000002,0.058195968,0.2281472,0.0,0.042283008000000004,0.13688176640000002,0.34928947200000005
