encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
512,6,1536.0,5.0,512,5,1740.8,4.4,6.8,2.6,16.32833480834961,448.52209091186523,0.0,0.0
640,6,1706.6666666666667,4.0,640,6,1792.0,5.333333333333333,6.0,1.5,15.323877334594727,464.56146240234375,0.0,0.0
640,6,1280.0,3.6666666666666665,640,2,1536.0,6.0,3.0,2.0,13.252735137939453,312.4394416809082,0.0,0.0
640,6,1450.6666666666667,5.0,640,2,512.0,2.0,5.0,2.0,13.187646865844727,203.6607265472412,0.0,0.0
640,6,2304.0,5.666666666666667,640,3,1024.0,5.333333333333333,3.3333333333333335,1.6666666666666667,15.183448791503906,303.985595703125,0.0,0.0
512,6,1536.0,3.3333333333333335,640,5,1740.8,4.8,6.4,2.0,14.660120010375977,391.56556129455566,0.0,0.0
512,6,1792.0,5.666666666666667,640,4,1024.0,4.5,6.0,2.25,12.777566909790039,327.0277976989746,0.0,0.0
512,6,1280.0,5.0,512,5,1126.4,3.2,2.8,1.6,12.511730194091797,375.5216598510742,0.0,0.0
512,6,2218.6666666666665,6.666666666666667,640,1,512.0,2.0,2.0,2.0,15.547752380371094,111.71984672546387,0.0,0.0
512,6,1706.6666666666667,3.6666666666666665,512,5,1536.0,3.6,4.4,2.2,14.249801635742188,553.2388687133789,0.0,0.0
640,6,1194.6666666666667,6.0,512,3,1536.0,5.333333333333333,6.666666666666667,2.6666666666666665,20.171403884887695,341.19224548339844,0.0,0.0
512,6,1365.3333333333333,3.6666666666666665,640,4,2176.0,2.5,5.0,2.5,19.634485244750977,455.95812797546387,0.0,0.0
512,6,1792.0,4.0,640,3,853.3333333333334,4.0,6.666666666666667,2.3333333333333335,14.86515998840332,272.9611396789551,0.0,0.0
512,6,2133.3333333333335,3.6666666666666665,640,3,2218.6666666666665,8.0,4.666666666666667,2.0,16.091108322143555,279.8197269439697,0.0,0.0
640,6,1962.6666666666667,4.666666666666667,512,5,1228.8,4.4,4.0,2.8,16.279220581054688,406.19373321533203,0.0,0.0
512,6,1109.3333333333333,5.0,512,4,2304.0,3.5,5.0,2.0,11.926651000976562,338.37318420410156,0.0,0.0
640,6,1962.6666666666667,5.0,512,1,2048.0,2.0,2.0,2.0,16.344785690307617,120.01824378967285,0.0,0.0
640,6,1109.3333333333333,5.666666666666667,640,5,1126.4,5.2,6.0,2.0,14.523983001708984,415.17066955566406,0.0,0.0
512,6,1194.6666666666667,4.666666666666667,512,4,2176.0,4.0,5.5,2.0,13.446569442749023,420.79710960388184,0.0,0.0
640,6,853.3333333333334,4.666666666666667,512,3,1365.3333333333333,5.333333333333333,4.666666666666667,2.6666666666666665,14.207124710083008,274.8427391052246,0.0,0.0
512,6,1706.6666666666667,4.666666666666667,640,1,1024.0,2.0,8.0,2.0,14.092445373535156,121.81353569030762,0.0,0.0
640,6,2048.0,4.333333333333333,512,1,1024.0,4.0,4.0,2.0,16.434431076049805,105.60250282287598,0.0,0.0
512,6,2048.0,5.333333333333333,512,4,1664.0,4.5,5.5,2.0,13.259649276733398,321.1228847503662,0.0,0.0
512,6,2901.3333333333335,4.666666666666667,640,3,682.6666666666666,3.3333333333333335,4.666666666666667,2.0,15.892267227172852,249.91583824157715,0.0,0.0
512,6,1706.6666666666667,5.0,640,1,1024.0,8.0,8.0,3.0,14.450788497924805,108.95323753356934,0.0,0.0
512,6,938.6666666666666,4.666666666666667,512,3,1024.0,5.333333333333333,6.0,2.3333333333333335,13.150691986083984,236.27781867980957,0.0,0.0
512,6,1109.3333333333333,5.333333333333333,640,2,1280.0,5.0,3.0,1.5,13.255596160888672,172.6691722869873,0.0,0.0
512,6,1962.6666666666667,5.0,512,5,1126.4,5.6,6.0,1.4,14.778375625610352,464.918851852417,0.0,0.0
640,6,1621.3333333333333,3.3333333333333335,512,6,1109.3333333333333,3.6666666666666665,3.3333333333333335,2.5,19.05202865600586,577.162504196167,0.0,0.0
512,6,1877.3333333333333,4.333333333333333,512,3,1194.6666666666667,8.0,2.6666666666666665,1.3333333333333333,22.65310287475586,340.8348560333252,0.0,0.0
512,6,1280.0,5.666666666666667,512,3,1024.0,4.0,3.3333333333333335,2.0,14.068841934204102,334.6898555755615,0.0,0.0
640,6,1706.6666666666667,5.0,512,4,2816.0,4.5,4.0,1.5,15.027046203613281,307.1141242980957,0.0,0.0
512,6,1365.3333333333333,6.0,512,1,512.0,4.0,8.0,3.0,12.697935104370117,95.60823440551758,0.0,0.0
640,6,1109.3333333333333,4.666666666666667,640,1,2048.0,4.0,8.0,3.0,13.492584228515625,107.15723037719727,0.0,0.0
512,6,1877.3333333333333,3.0,640,1,2048.0,8.0,8.0,1.0,13.105630874633789,98.87576103210449,0.0,0.0
640,6,2048.0,4.0,512,5,1638.4,3.6,2.4,2.4,14.903783798217773,363.1565570831299,0.0,0.0
640,6,1621.3333333333333,5.333333333333333,512,6,1536.0,3.3333333333333335,5.333333333333333,1.6666666666666667,15.251636505126953,431.00428581237793,0.0,0.0
512,6,1024.0,4.333333333333333,512,5,2355.2,5.6,3.2,2.4,13.63515853881836,396.7902660369873,0.0,0.0
640,6,1109.3333333333333,3.3333333333333335,640,2,1024.0,2.0,3.0,2.0,14.188766479492188,197.6773738861084,0.0,0.0
512,6,1621.3333333333333,3.6666666666666665,512,3,1877.3333333333333,6.0,6.666666666666667,2.0,12.688875198364258,264.21165466308594,0.0,0.0
640,6,1365.3333333333333,4.0,512,5,2048.0,3.6,3.2,1.4,14.803409576416016,412.89281845092773,0.0,0.0
512,6,1962.6666666666667,5.333333333333333,640,3,2048.0,3.3333333333333335,5.333333333333333,3.0,14.757156372070312,268.77641677856445,0.0,0.0
640,6,1621.3333333333333,5.0,512,2,1024.0,8.0,5.0,1.5,13.597249984741211,166.95451736450195,0.0,0.0
640,6,1109.3333333333333,3.6666666666666665,640,4,2176.0,5.5,6.0,1.25,12.812137603759766,296.3073253631592,0.0,0.0
640,6,1962.6666666666667,4.666666666666667,640,2,1792.0,2.0,4.0,1.0,16.211986541748047,244.27556991577148,0.0,0.0
512,6,1536.0,5.333333333333333,640,1,3072.0,8.0,2.0,1.0,18.993139266967773,158.9188575744629,0.0,0.0
640,6,2389.3333333333335,4.333333333333333,512,5,2150.4,6.4,4.8,2.2,22.203922271728516,515.0890350341797,0.0,0.0
512,6,1536.0,6.0,512,6,1280.0,5.666666666666667,5.0,2.3333333333333335,18.379926681518555,572.8762149810791,0.0,0.0
640,6,1706.6666666666667,5.333333333333333,640,4,1280.0,5.0,4.0,1.75,19.068479537963867,393.8889503479004,0.0,0.0
640,6,1450.6666666666667,3.6666666666666665,512,4,1152.0,7.0,4.5,1.5,14.710426330566406,320.2340602874756,0.0,0.0
640,6,1194.6666666666667,3.0,512,6,1365.3333333333333,4.666666666666667,3.6666666666666665,2.1666666666666665,12.659311294555664,443.479061126709,0.0,0.0
640,6,1621.3333333333333,4.666666666666667,640,5,1740.8,4.8,4.0,2.0,14.322519302368164,424.9835014343262,0.0,0.0
640,6,1536.0,3.0,512,2,1280.0,8.0,5.0,3.0,13.316631317138672,186.77783012390137,0.0,0.0
640,6,1792.0,5.0,640,2,768.0,5.0,6.0,3.0,13.693571090698242,263.78631591796875,0.0,0.0
640,6,1621.3333333333333,5.333333333333333,640,6,1962.6666666666667,5.666666666666667,5.666666666666667,2.3333333333333335,15.069246292114258,458.5995674133301,0.0,0.0
512,6,2133.3333333333335,2.3333333333333335,512,1,512.0,8.0,8.0,2.0,13.72075080871582,93.93715858459473,0.0,0.0
640,6,1024.0,4.333333333333333,512,4,1408.0,4.5,4.0,1.5,13.281106948852539,408.0030918121338,0.0,0.0
512,6,1365.3333333333333,3.3333333333333335,640,3,1536.0,3.3333333333333335,4.666666666666667,2.0,12.429952621459961,229.99119758605957,0.0,0.0
512,6,1536.0,4.333333333333333,640,1,3072.0,8.0,4.0,1.0,13.646125793457031,114.3028736114502,0.0,0.0
640,6,1536.0,4.0,512,3,1194.6666666666667,4.666666666666667,5.333333333333333,2.3333333333333335,17.839670181274414,324.44071769714355,0.0,0.0
640,6,1194.6666666666667,4.0,512,1,512.0,8.0,2.0,3.0,16.569137573242188,132.55929946899414,0.0,0.0
640,6,938.6666666666666,5.0,640,3,1365.3333333333333,4.666666666666667,6.0,2.0,17.103910446166992,325.07896423339844,0.0,0.0
512,6,1365.3333333333333,3.3333333333333335,640,4,2304.0,5.5,5.5,1.75,15.746831893920898,431.7457675933838,0.0,0.0
640,6,2389.3333333333335,7.0,512,4,2304.0,4.0,4.5,1.75,16.3576602935791,301.2356758117676,0.0,0.0
512,6,1365.3333333333333,7.333333333333333,512,1,512.0,2.0,4.0,3.0,12.866973876953125,95.80254554748535,0.0,0.0
640,6,2218.6666666666665,2.6666666666666665,640,6,1621.3333333333333,5.0,4.0,1.8333333333333333,15.444278717041016,419.4831848144531,0.0,0.0
640,6,1792.0,6.333333333333333,512,5,1024.0,4.4,6.0,2.4,14.467477798461914,369.8158264160156,0.0,0.0
512,6,1962.6666666666667,4.0,640,6,1877.3333333333333,5.0,5.0,1.8333333333333333,13.43536376953125,520.8802223205566,0.0,0.0
640,6,1450.6666666666667,4.333333333333333,512,3,1365.3333333333333,4.0,4.666666666666667,2.6666666666666665,13.293981552124023,271.9552516937256,0.0,0.0
640,6,1792.0,5.666666666666667,512,3,2218.6666666666665,6.0,4.666666666666667,2.0,15.13981819152832,328.23705673217773,0.0,0.0
512,6,1877.3333333333333,4.0,640,6,1962.6666666666667,4.0,3.6666666666666665,2.5,12.75181770324707,483.64782333374023,0.0,0.0
512,6,1194.6666666666667,3.3333333333333335,640,1,512.0,2.0,4.0,3.0,13.427972793579102,123.10791015625,0.0,0.0
640,6,1792.0,4.0,512,3,853.3333333333334,3.3333333333333335,8.0,1.6666666666666667,15.465021133422852,248.55923652648926,0.0,0.0
640,6,1962.6666666666667,3.6666666666666665,640,5,1945.6,2.8,4.0,2.0,18.476247787475586,424.55148696899414,0.0,0.0
640,6,1365.3333333333333,3.3333333333333335,512,6,1109.3333333333333,4.333333333333333,5.333333333333333,1.8333333333333333,16.1285400390625,537.8305912017822,0.0,0.0
640,6,2389.3333333333335,5.666666666666667,512,3,1194.6666666666667,6.666666666666667,6.0,3.0,24.100303649902344,305.8149814605713,0.0,0.0
512,6,1792.0,5.0,512,5,1945.6,6.0,5.2,2.0,16.935110092163086,616.2154674530029,0.0,0.0
640,6,1877.3333333333333,4.0,512,6,1877.3333333333333,5.666666666666667,5.0,2.3333333333333335,18.906354904174805,523.3349800109863,0.0,0.0
512,6,2560.0,4.333333333333333,512,2,3072.0,3.0,2.0,2.0,15.193700790405273,174.45826530456543,0.0,0.0
512,6,1877.3333333333333,5.333333333333333,512,5,1945.6,4.0,3.2,2.2,13.623952865600586,363.1620407104492,0.0,0.0
512,6,2389.3333333333335,4.0,640,4,1792.0,5.0,5.5,2.25,13.76962661743164,359.1787815093994,0.0,0.0
512,6,1024.0,6.0,512,4,1664.0,4.0,5.5,2.0,13.326883316040039,334.1982364654541,0.0,0.0
640,6,1536.0,4.333333333333333,640,4,1920.0,6.5,2.5,1.75,13.245820999145508,344.7420597076416,0.0,0.0
640,6,1536.0,2.6666666666666665,640,1,512.0,2.0,4.0,1.0,13.589143753051758,129.1978359222412,0.0,0.0
512,6,1365.3333333333333,5.0,512,1,3072.0,2.0,2.0,1.0,13.529777526855469,124.43971633911133,0.0,0.0
512,6,1621.3333333333333,5.333333333333333,512,2,1536.0,3.0,3.0,2.0,13.938188552856445,339.2148017883301,0.0,0.0
512,6,2218.6666666666665,5.666666666666667,512,3,1365.3333333333333,4.666666666666667,3.3333333333333335,2.6666666666666665,18.67222785949707,318.77708435058594,0.0,0.0
512,6,1792.0,5.333333333333333,640,1,1024.0,4.0,8.0,2.0,16.36528968811035,164.1082763671875,0.0,0.0
640,6,1536.0,5.0,512,5,2355.2,2.8,4.0,2.0,19.415855407714844,482.11002349853516,0.0,0.0
640,6,1877.3333333333333,5.333333333333333,512,3,1706.6666666666667,3.3333333333333335,3.3333333333333335,1.6666666666666667,16.820907592773438,323.92263412475586,0.0,0.0
512,6,1706.6666666666667,4.666666666666667,512,3,1024.0,4.666666666666667,2.0,2.6666666666666665,14.68515396118164,262.6008987426758,0.0,0.0
640,6,2304.0,5.0,512,6,1109.3333333333333,4.0,3.0,1.8333333333333333,14.661073684692383,439.3460750579834,0.0,0.0
512,6,1194.6666666666667,6.333333333333333,512,4,1408.0,4.0,5.5,1.75,11.795520782470703,395.66731452941895,0.0,0.0
640,6,1450.6666666666667,4.666666666666667,512,6,2474.6666666666665,4.666666666666667,3.6666666666666665,1.5,14.712333679199219,536.466121673584,0.0,0.0
640,6,1621.3333333333333,5.333333333333333,512,2,768.0,6.0,8.0,2.0,66.74838066101074,204.9243450164795,0.0,0.0
640,6,1365.3333333333333,3.3333333333333335,512,1,2048.0,4.0,8.0,1.0,12.886524200439453,120.95499038696289,0.0,0.0
512,6,1962.6666666666667,4.333333333333333,640,5,2457.6,4.8,4.8,2.6,14.433860778808594,415.62700271606445,0.0,0.0
640,6,1194.6666666666667,4.333333333333333,640,4,1152.0,6.0,4.0,2.5,12.738227844238281,353.56783866882324,0.0,0.0
512,6,1536.0,5.666666666666667,640,6,1536.0,3.6666666666666665,4.666666666666667,1.8333333333333333,152.93645858764648,579.7250270843506,0.0,0.0
640,6,1194.6666666666667,4.666666666666667,512,1,2048.0,8.0,4.0,3.0,16.505718231201172,161.59319877624512,0.0,0.0
640,6,1877.3333333333333,4.666666666666667,640,2,1280.0,4.0,5.0,2.0,17.14181900024414,241.0299777984619,0.0,0.0
640,6,1280.0,4.666666666666667,640,6,2048.0,5.333333333333333,3.6666666666666665,1.8333333333333333,17.239809036254883,740.0233745574951,0.0,0.0
512,6,1450.6666666666667,2.6666666666666665,640,2,1536.0,5.0,4.0,2.5,13.047218322753906,176.16915702819824,0.0,0.0
512,6,1536.0,3.6666666666666665,512,1,512.0,8.0,4.0,1.0,13.269186019897461,87.7838134765625,0.0,0.0
512,6,2218.6666666666665,4.666666666666667,512,2,1536.0,3.0,6.0,1.0,14.103889465332031,157.0420265197754,0.0,0.0
640,6,1962.6666666666667,4.0,512,4,1536.0,3.5,5.5,1.5,15.208244323730469,307.3387145996094,0.0,0.0
640,6,1365.3333333333333,3.3333333333333335,640,1,1024.0,2.0,8.0,1.0,24.137020111083984,107.46288299560547,0.0,0.0
512,6,2048.0,5.333333333333333,512,3,1194.6666666666667,2.6666666666666665,2.6666666666666665,1.6666666666666667,14.397621154785156,248.98457527160645,0.0,0.0
512,6,1536.0,7.0,512,1,1024.0,2.0,2.0,3.0,13.783693313598633,127.9761791229248,0.0,0.0
640,6,682.6666666666666,3.6666666666666665,640,6,1621.3333333333333,3.6666666666666665,6.0,2.0,18.083810806274414,463.4814262390137,0.0,0.0
512,6,1536.0,6.0,640,4,768.0,6.0,5.5,1.5,12.746095657348633,293.17498207092285,0.0,0.0
512,6,1450.6666666666667,6.0,512,2,1792.0,4.0,2.0,2.5,13.838052749633789,186.4323616027832,0.0,0.0
512,6,2048.0,3.6666666666666665,640,2,1792.0,6.0,3.0,1.0,14.756917953491211,197.8621482849121,0.0,0.0
640,6,1792.0,3.6666666666666665,640,3,1877.3333333333333,6.0,6.0,2.0,23.213863372802734,356.7378520965576,0.0,0.0
512,6,1194.6666666666667,3.6666666666666665,640,1,3072.0,8.0,2.0,1.0,17.300128936767578,171.01740837097168,0.0,0.0
640,6,1109.3333333333333,4.333333333333333,640,3,1194.6666666666667,6.0,6.0,1.6666666666666667,15.435218811035156,327.4383544921875,0.0,0.0
640,6,2133.3333333333335,4.333333333333333,512,2,768.0,3.0,6.0,1.5,18.82624626159668,157.53793716430664,0.0,0.0
640,6,1706.6666666666667,6.333333333333333,512,3,2730.6666666666665,6.0,4.666666666666667,2.0,